file_path,file_name,dataset,reference_text,transcribed_text,audio_duration,processing_time,WER,CER,model
test\alip\42817_alip_.wav,42817_alip_.wav,alip,né do plano é onde você olha lá embaixo assim tem um um vale tem um pequeno pequeno não mas é um grande um pequeno vale,"do plano, onde você olha lá embaixo, assim, tem um vale, tem um pequeno, pequeno não, mas um grande, um pequeno vale.",8.36,9.60871934890747,15.384615384615385,8.403361344537815,assemblyaibest
test\alip\51124_alip_.wav,51124_alip_.wav,alip,e por,E por fim...,2.24,4.879415035247803,50.0,80.0,assemblyaibest
test\alip\3337_alip_.wav,3337_alip_.wav,alip,e aí ela nem acreditou que ela podia pegar o primeiro lugar ela falou que ela ficou bastante assim,"E aí ela nem acreditou que ela podia ter ganhado o primeiro lugar, ela falou que ela ficou bastante, assim...",6.08,4.223562002182007,10.526315789473683,8.16326530612245,assemblyaibest
test\alip\64636_alip_.wav,64636_alip_.wav,alip,tipo ele não sabia o que fazer com,Ele não sabia o que fazer.,1.36,4.10364556312561,25.0,26.47058823529412,assemblyaibest
test\alip\80528_alip_.wav,80528_alip_.wav,alip,mas nenhuma mãe quer que fala que o filho não tem cura mas seu filho não tem curo espero,"Não tem nenhuma maqueta que fala que o frio não tem cura, mas o frio não tem cura.",4.72,4.221140146255493,47.368421052631575,32.95454545454545,assemblyaibest
test\alip\3589_alip_.wav,3589_alip_.wav,alip,nele você põe uma lata de creme de leite,nele você põe uma lata de creme de leite,3.4,4.160273790359497,0.0,0.0,assemblyaibest
test\alip\51138_alip_.wav,51138_alip_.wav,alip,longo termo brigadão,Muito bom. Obrigada.,2.2,4.218471527099609,100.0,55.00000000000001,assemblyaibest
test\alip\42815_alip_.wav,42815_alip_.wav,alip,tem um pequeno gramadinho aí você chega nesse gramad,tem um pequeno dramadinho ai você chega nesse dramadinho,3.56,4.117452383041382,33.33333333333333,13.461538461538462,assemblyaibest
test\alip\40372_alip_.wav,40372_alip_.wav,alip,e como que foi depois assim,E como que foi depois assim?,2.96,2.033604621887207,0.0,0.0,deepgramnova2
test\alip\40326_alip_.wav,40326_alip_.wav,alip,adulto né apesar de ter outros passagem o anterior né,Adulto né? Apesar de ter outras passagens anterior né?,2.68,2.06608247756958,30.0,7.547169811320755,deepgramnova2
test\alip\3371_alip_.wav,3371_alip_.wav,alip,que é uma escola que é perto da minha,,2.56,1.8938930034637451,100.0,100.0,deepgramnova2
test\alip\3485_alip_.wav,3485_alip_.wav,alip,tem também um tobogã que você desce com boia,Tem também o que você desce com boia.,4.08,1.9805052280426025,22.22222222222222,18.181818181818183,deepgramnova2
test\alip\64562_alip_.wav,64562_alip_.wav,alip,ah bê éle ó não,A acidez de aula.,1.4,1.5657825469970703,100.0,86.66666666666667,deepgramnova2
test\alip\44295_alip_.wav,44295_alip_.wav,alip,de algodão,De algodão.,1.28,1.6788086891174316,0.0,0.0,deepgramnova2
test\alip\3272_alip_.wav,3272_alip_.wav,alip,e e chegando lá minha mãe viu e tudo também em o médico também viu falou que tinha sido fundo e tinha dar um ponto,"E, e chegando lá minha mãe viu tudo, também o médico também viu, falou que tinha sido fundo se eu der um ponto.",8.6,2.390329599380493,20.0,10.526315789473683,deepgramnova2
test\alip\42961_alip_.wav,42961_alip_.wav,alip,aí eu coloco,,1.28,1.7442982196807861,100.0,100.0,deepgramnova2
test\alip\42514_alip_.wav,42514_alip_.wav,alip,foi um algo desse gênero assim eu acabei até passando esses quatro cinco anos mas agora,Falar desse gênero assim eu acabei até passando esses quatro cinco anos mas agora.,6.08,2.0714712142944336,18.75,9.195402298850574,deepgramnova2
test\alip\51221_alip_.wav,51221_alip_.wav,alip,ah não,Ah não?,1.84,1.804919719696045,0.0,0.0,deepgramnova2
test\CORAL\25919_CO_bfammn27.wav,25919_CO_bfammn27.wav,CORAL,inclusive o artístico,Inclusive artístico.,1.214,1.576723575592041,33.33333333333333,9.523809523809524,deepgramnova2
test\CORAL\14406_CO_bfammn31.wav,14406_CO_bfammn31.wav,CORAL,aí ele tá andando no meio da mata e aí ele vê uma pessoa e aí a pessoa fala ah vam vamos lá conhecer minha aldeia vamos ali,"Ele está andando no meio da mata, e aí ele vê uma pessoa, e aí a pessoa fala ah vamos lá conhecer minha aldeia, vamos ali.",9.142,2.2983834743499756,10.714285714285714,7.317073170731707,deepgramnova2
test\CORAL\26047_CO_bfammn27.wav,26047_CO_bfammn27.wav,CORAL,a gente reinventa,A gente reinventa.,1.487,1.6805274486541748,0.0,0.0,deepgramnova2
test\CORAL\12001_CO_bfammn35.wav,12001_CO_bfammn35.wav,CORAL,aí quando ele fuma ele me fala,"Quando ele for, ele me fala.",1.881,1.8039000034332275,28.57142857142857,20.0,deepgramnova2
test\CORAL\2508_CO_bfammn10.wav,2508_CO_bfammn10.wav,CORAL,principalmente por causa dum cara que morava comigo que tinha um armarinho das bebidas lá,"Principalmente por causa dum cara que morava comigo, que tinha um armarinho das bebidas.",5.057,2.1430249214172363,6.666666666666667,3.3707865168539324,deepgramnova2
test\CORAL\24033_CO_bfammn09.wav,24033_CO_bfammn09.wav,CORAL,e a minha mulher por ela ser uma pessoa de de fibra ela era incapaz de pedir pra minha mãe qualquer coisa ou ou ou qualquer coisa chegar pra ela e falar o meus os menino não têm nada dentro de casa né,"E a minha mulher por ela ser uma pessoa de de fibra, ela era incapaz de pedir pra minha mãe qualquer coisa ou ou qualquer coisa de chegar pra ela e falar, o meu os meninos não tem nada dentro de casa, né?",14.922,3.2776060104370117,11.627906976744185,4.5,deepgramnova2
test\CORAL\31459_CO_bfammn24.wav,31459_CO_bfammn24.wav,CORAL,é para área específica que é o curso diz que é um curso excelente,"Pra área específica que é o curso, diz que é um curso excelente.",4.337,2.1644961833953857,14.285714285714285,4.615384615384616,deepgramnova2
test\CORAL\456_CO_bfammn26.wav,456_CO_bfammn26.wav,CORAL,mas eh eh a festa aqui comemora né,Mas é a festa que comemora né?,3.427,2.085358142852783,37.5,20.588235294117645,deepgramnova2
test\CORAL\9705_CO_bfammn28.wav,9705_CO_bfammn28.wav,CORAL,da copa até na sala tinha que assentar,"Da copa da nação, diga sentar.",3.408,2.312121868133545,75.0,44.73684210526316,deepgramnova2
test\CORAL\2389_CO_bfammn10.wav,2389_CO_bfammn10.wav,CORAL,sei não começar do começo é bom,Começar do começo é,2.44,2.157984495162964,42.857142857142854,38.70967741935484,deepgramnova2
test\sp\70890_sp_.wav,70890_sp_.wav,sp,é,,0.507,2.046384572982788,100.0,100.0,deepgramnova2
test\sp\71347_sp_.wav,71347_sp_.wav,sp,deixa eu ver,Chover.,0.65,1.5937156677246094,100.0,75.0,deepgramnova2
test\sp\44985_sp_.wav,44985_sp_.wav,sp,nossa,,1.657,1.8211002349853516,100.0,100.0,deepgramnova2
test\sp\43293_sp_.wav,43293_sp_.wav,sp,eu acho que à noite e eu acho que a a a vida cultural eu acho que é muito fervilhante assim,,6.925,2.2707602977752686,100.0,100.0,deepgramnova2
test\sp\45650_sp_.wav,45650_sp_.wav,sp,informação é cem por cento certa,Informação recém crescendo certo,1.523,1.8251914978027344,100.0,37.5,deepgramnova2
test\sp\45641_sp_.wav,45641_sp_.wav,sp,só que ele na época também não registrou,Que ele na época também não registrou.,2.22,1.8364083766937256,12.5,7.5,deepgramnova2
test\sp\47993_sp_.wav,47993_sp_.wav,sp,legal,Legal.,0.551,1.5752739906311035,0.0,0.0,deepgramnova2
test\sp\43618_sp_.wav,43618_sp_.wav,sp,geladeira sair assim boiando deve ser uma loucura né,Geladeira sair assim boiando,4.117,2.2343363761901855,55.55555555555556,46.15384615384615,deepgramnova2
test\sp\48265_sp_.wav,48265_sp_.wav,sp,vem a responsabilidade de lidar com o dinheiro dos outros também né mas é legal,"Vem a responsabilidade de lidar com o dinheiro dos outros também né, mas legal.",3.254,1.9991464614868164,6.666666666666667,2.5316455696202533,deepgramnova2
test\sp\48204_sp_.wav,48204_sp_.wav,sp,de samba rock,De samba rock.,1.41,1.7627182006835938,0.0,0.0,deepgramnova2
test\Ted_part1\a4ZFKFLLORE-0031.wav,a4ZFKFLLORE-0031.wav,Ted_part1,falar liberdade né é liberdade que é tolhida em sala né é muito comum chegar aquele,"Falar, liberdade, né, a liberdade que a tua lida em sala, né. É muito comum chegar aquele",8.84,2.3725504875183105,25.0,7.228915662650602,deepgramnova2
test\Ted_part1\A0dfeodJL8Q-0211.wav,A0dfeodJL8Q-0211.wav,Ted_part1,tá lotado de uma certeza de que veio pro mundo mais do que pra fazer peso pode revolucionar e fazer a diferença obrigado galera,"De uma certeza de que veio pro mundo mais do que fazer peso, pode revolucionar e fazer a diferença. Obrigado, galera.",12.6,2.8861799240112305,12.5,11.023622047244094,deepgramnova2
test\Ted_part1\aXZ9Cb9ffE8-0010.wav,aXZ9Cb9ffE8-0010.wav,Ted_part1,e nós viemos pro interior dos de são paulo do interior do paraná lá ele era agricultor e de,"Nós viemos para o interior de São Paulo, do interior do Paraná. Lá ele era agricultor e de",9.84,2.36749529838562,21.052631578947366,9.89010989010989,deepgramnova2
test\Ted_part1\A0dfeodJL8Q-0015.wav,A0dfeodJL8Q-0015.wav,Ted_part1,que ser real nessa década que a gente vive ele escreveu isso educação é feita,"Ser real nessa década que a gente vive, ele escreveu isso, educação é feita",6.44,2.225938320159912,6.666666666666667,5.194805194805195,deepgramnova2
test\Ted_part1\AxOK90gji-o-0029.wav,AxOK90gji-o-0029.wav,Ted_part1,procuramos através de uma ponte comunicação e finalmente conseguimos nós tínhamos aulas o que o intelectual,E procuramoso através de uma ponte de comunicação e finalmente conseguimos. Nós tínhamos aulas com o intérprete.,7.64,2.240609884262085,37.5,17.75700934579439,deepgramnova2
test\Ted_part1\bE-4E1eUk6o-0141.wav,bE-4E1eUk6o-0141.wav,Ted_part1,teve origem em uma distância cuja lógica um mil e duzentos milhões anos luz em dois mil e dezessete outro evento importantíssimo,,9.12,2.3052563667297363,100.0,100.0,deepgramnova2
test\Ted_part1\aXZ9Cb9ffE8-0064.wav,aXZ9Cb9ffE8-0064.wav,Ted_part1,e empreendedores aqueles cinquenta e dois milhões de empreendedores que necessitassem de crédito e assim aconteceu em dois mil e catorze,E empreendedores aqueles cinquenta e dois milhões de empreendedores que necessitassem de crédito e assim aconteceu em 2014,15.28,2.3023533821105957,0.0,0.0,deepgramnova2
test\Ted_part1\bnoorgXkmWE-0120.wav,bnoorgXkmWE-0120.wav,Ted_part1,empresas afinal estou a contribuir para pessoas que estão a pagar e casas luxo e férias,"Para que empresas afinal estão eu a contribuir, para pessoas que estão a pagar casas de luxo e férias.",7.48,2.304570198059082,37.5,19.54022988505747,deepgramnova2
test\Ted_part1\Ab5xNf5VoEc-0063.wav,Ab5xNf5VoEc-0063.wav,Ted_part1,eu mudei a forma coloquei a forma fechada para que a água fique concentrada e o bloco,"Mudei a forma, coloquei a forma fechada pra que a água fique concentrada e o bloco",6.76,2.4412386417388916,11.76470588235294,4.705882352941177,deepgramnova2
test\Ted_part1\aai3QcbLetk-0006.wav,aai3QcbLetk-0006.wav,Ted_part1,obstáculo difícil e o engraçado dessas histórias era que sempre as pe os integrantes das equipes tinham habilidades e competências muito diferentes e aquelas diferenças eram fundamentais pra ver pra vitória da equipe a terceira coisa que era presente na mesma infância era,Constago difícil. E o engraçado dessas histórias era que sempre os integrantes das equipes tinham habilidades e competências muito diferentes. E aquelas diferenças eram fundamentais para a vitória da equipe. A terceira coisa que era presente na minha infância era.,18.68,2.477964162826538,16.27906976744186,8.088235294117647,deepgramnova2
test\Ted_part3\__BtfBTQJoM-0012.wav,__BtfBTQJoM-0012.wav,Ted_part3,talvez o voluntariado gere desemprego porque leva as pessoas a trabalhar de graça talvez o voluntariado seja só feito para fazer os voluntários sentirem se melhor,Talvez o voluntariado gere desemprego porque leva as pessoas a trabalhar de graça. Talvez o voluntariado esteja só feito para fazer os voluntários sentiremse melhor.,14.28,2.737025499343872,11.538461538461538,1.8518518518518516,deepgramnova2
test\Ted_part3\__BtfBTQJoM-0008.wav,__BtfBTQJoM-0008.wav,Ted_part3,e quando falo de voluntariado não falo apenas do voluntariado que é feito através de organizações mas o voluntariado que fazemos informalmente para pessoas do nosso bairro como dar explicações,"E quando falo de voluntariado, não falo apenas do voluntariado que é feito através de organizações, mas do voluntariado que fazemos informalmente pra pessoas do nosso bairro, como dá explicações.",11.96,2.4579715728759766,10.0,2.083333333333333,deepgramnova2
test\Ted_part3\__BtfBTQJoM-0006.wav,__BtfBTQJoM-0006.wav,Ted_part3,exemplos como este foram manchando a bandeira do voluntariado foram manchando este ideal humanista de que o ser humano pode ser um ser realmente altruísta,"Exemplos como este foram manchando a bandeira do voluntariado, foram manchando este ideal humanista de que o ser humano pode ser um ser realmente altruísta.",12.2,2.510465145111084,0.0,0.0,deepgramnova2
test\Ted_part3\__BtfBTQJoM-0063.wav,__BtfBTQJoM-0063.wav,Ted_part3,se nós queremos realmente fazer todos parte da construção de um mundo radicalmente mais fixe então não nos podemos alienar dessa magnífica e desafiadora jornada que é ser voluntário por uma causa pela qual a nossa vida valha a pena,"Nós queremos realmente fazer todos parte da construção de um mundo radicalmente mais fixe, então não nos podemos alienar dessa magnífica e desafiadora jornada, que é ser voluntário por uma causa pela qual a nossa vida vale a pena.",21.32,2.6148669719696045,5.0,2.1645021645021645,deepgramnova2
test\Ted_part3\__BtfBTQJoM-0054.wav,__BtfBTQJoM-0054.wav,Ted_part3,portanto isto pega naquela ideia de que o voluntariado não é simples nem fácil é algo complexo e desafiador e que exige uma paixão para nós irmos à procura das reais causas dos problemas,"Portanto, isto pega naquela ideia de que o voluntariado não é simples, nem fácil, é algo complexo e desafiador, e que exige uma paixão por nós irmos à procura das reais causas dos problemas.",13.4,2.59948992729187,2.941176470588235,1.0752688172043012,deepgramnova2
